Country,UN Region,GDP,YEAR,World Bank[13],YEAR,United Nations[14],YEAR
 Angola,Africa,"1,24,794",2022,"72,547",2021,"62,307",2020
 Puerto Rico,Americas,"1,18,677",2022,"1,03,138",2020,"1,03,138",2020
 Ecuador,Americas,"1,15,469",2022,"1,06,166",2021,"98,808",2020
 Kenya,Africa,"1,14,858",2022,"1,10,347",2021,"1,01,014",2020
 Slovakia,Europe,"1,12,418",2022,"1,14,871",2021,"1,05,173",2020
 Dominican Republic,Americas,"1,12,417",2022,"94,244",2021,"78,845",2020
 Ethiopia,Africa,"1,11,181",2022,"1,11,271",2021,"96,611",2020
 Oman,Asia,"1,08,969",2022,"85,869",2021,"63,368",2020
 Cuba,Americas,—,,"1,07,352",2020,"1,07,352",2020
 Guatemala,Americas,"91,318",2022,"85,986",2021,"77,605",2020
 Bulgaria,Europe,"85,008",2022,"80,271",2021,"69,888",2020
 Luxembourg,Europe,"82,154",2022,"86,711",2021,"73,353",2020
 Venezuela,Americas,"82,145",2022,"4,82,359",2014,"1,06,359",2020
 Belarus,Europe,"79,704",2022,"68,219",2021,"60,259",2020
 Uzbekistan,Asia,"79,117",2022,"69,239",2021,"57,707",2020
 Tanzania,Africa,"76,582",2022,"67,775",2021,"64,740",[n 9]2020
 Ghana,Africa,"75,996",2022,"77,594",2021,"68,532",2020
 Turkmenistan,Asia,"74,439",2022,"45,231",2019,"42,845",2020
 Sri Lanka,Asia,"73,739",2022,"84,519",2021,"80,677",2020
 Uruguay,Americas,"71,161",2022,"59,320",2021,"53,629",2020
 Panama,Americas,"71,085",2022,"63,605",2021,"52,938",2020
 Azerbaijan,Asia,"70,066",2022,"54,622",2021,"42,607",2020
 Croatia,Europe,"69,380",2022,"67,838",2021,"57,204",2020
 Ivory Coast,Africa,"68,630",2022,"69,765",2021,"61,143",2020
 Costa Rica,Americas,"68,489",2022,"64,282",2021,"61,521",2020
 Lithuania,Europe,"68,031",2022,"65,504",2021,"56,547",2020
 DR Congo,Africa,"63,909",2022,"53,959",2021,"45,308",2020
 Serbia,Europe,"62,721",2022,"63,068",2021,"53,335",2020
 Slovenia,Europe,"62,191",2022,"61,526",2021,"53,590",2020
 Myanmar,Asia,"59,530",2022,"65,068",2021,"70,284",2020
 Uganda,Africa,"48,352",2022,"40,435",2021,"38,702",2020
 Jordan,Asia,"48,066",2022,"45,244",2021,"43,697",2020
 Tunisia,Africa,"46,282",2022,"46,840",2021,"39,218",2020
 Cameroon,Africa,"44,212",2022,"45,239",2021,"39,881",2020
 Bahrain,Asia,"43,544",2022,"38,869",2021,"33,904",2020
 Bolivia,Americas,"43,431",2022,"40,408",2021,"36,573",2020
 Sudan,Africa,"42,762",2022,"34,326",2021,"62,057",2020
 Paraguay,Americas,"41,855",2022,"38,987",2021,"35,304",2020
 Libya,Africa,"40,836",2022,"41,880",2021,"29,153",2020
 Latvia,Europe,"40,588",2022,"38,873",2021,"33,707",2020
 Estonia,Europe,"39,054",2022,"36,263",2021,"30,650",2020
 Nepal,Asia,"39,028",2022,"36,289",2021,"33,079",2020
 Zimbabwe,Africa,"38,280",2022,"26,218",2021,"21,787",2020
 El Salvador,Americas,"31,989",2022,"28,737",2021,"24,639",2020
 Papua New Guinea,Oceania,"31,362",2022,"26,594",2021,"23,619",2020
 Honduras,Americas,"30,568",2022,"28,489",2021,"23,828",2020
 Trinidad and Tobago,Americas,"29,337",2022,"21,392",2021,"21,393",2020
 Cambodia,Asia,"28,330",2022,"26,961",2021,"25,291",2020
 Iceland,Europe,"27,702",2022,"25,459",2021,"21,718",2020
 Yemen,Asia,"27,594",2022,"21,062",2021,"27,958",2020
 Senegal,Africa,"27,542",2022,"27,625",2021,"24,412",2020
 Zambia,Africa,"27,025",2022,"21,203",2021,"18,111",2020
 Cyprus,Asia,"26,705",2022,"27,719",2021,"24,612",[n 10]2020
 Georgia,Europe,"25,172",2022,"18,700",[n 11]2021,"15,892",2020
 Bosnia and Herzegovina,Europe,"23,681",2022,"22,572",2021,"19,801",2020
 Macau,Asia,"23,420",[n 12]2022,"29,905",2021,"24,333",2020
 Gabon,Africa,"22,221",2022,"18,269",2021,"15,111",2020
 Haiti,Americas,"20,182",2022,"20,944",2021,"15,505",2020
 Afghanistan,Asia,"20,136",2020,"20,116",2020,"19,793",2020
 Guinea,Africa,"19,745",2022,"15,851",2021,"15,490",2020
 Palestine,Asia,"19,698",[n 13]2022,"18,037",[n 13]2021,"15,561",[n 13]2020
 Brunei,Asia,"18,464",2022,"14,007",2021,"12,003",2020
 Mali,Africa,"18,434",2022,"19,144",2021,"17,332",2020
 Burkina Faso,Africa,"18,268",2022,"19,738",2021,"17,369",2020
 Albania,Europe,"18,256",2022,"18,260",2021,"14,910",2020
 Lebanon,Asia,"24,494",2020,"18,077",2021,"63,546",2020
 Botswana,Africa,"18,005",2022,"17,614",2021,"15,782",2020
 Mozambique,Africa,"17,873",2022,"16,096",2021,"14,029",2020
 Armenia,Asia,"17,693",2022,"13,861",2021,"12,641",2020
 Benin,Africa,"17,547",2022,"17,786",2021,"15,205",2020
 Malta,Europe,"17,156",2022,"17,190",2021,"14,911",2020
 Equatorial Guinea,Africa,"16,877",2022,"12,269",2021,"10,022",2020
 Laos,Asia,"16,250",2022,"18,827",2021,"19,082",2020
 Jamaica,Americas,"16,104",2022,"13,638",2021,"13,812",2020
 North Korea,Asia,—,,—,,"15,847",2020
 Mongolia,Asia,"15,720",2022,"15,098",2021,"13,137",2020
 Nicaragua,Americas,"15,695",2022,"14,013",2021,"12,621",2020
 Syria,Asia,—,,"21,446",2018,"15,572",2020
 Madagascar,Africa,"15,106",2022,"14,637",2021,"13,008",2020
 Guyana,Americas,"14,839",2022,"7,409",2021,"5,471",2020
 Niger,Africa,"14,639",2022,"14,951",2021,"13,741",2020
 Congo,Africa,"14,486",2022,"12,524",2021,"10,100",2020
 North Macedonia,Europe,"14,101",2022,"13,879",2021,"12,264",2020
 Moldova,Europe,"14,048",[n 14]2022,"13,679",[n 14]2021,"11,914",[n 14]2020
 Chad,Africa,"12,945",2022,"11,780",2021,"11,154",2020
 Bahamas,Americas,"12,693",2022,"11,209",2021,"9,908",2020
 Namibia,Africa,"12,488",2022,"12,236",2021,"10,710",2020
 Rwanda,Africa,"12,098",2022,"11,070",2021,"10,332",2020
 Malawi,Africa,"11,554",2022,"12,627",2021,"11,762",2020
 Mauritius,Africa,"11,497",2022,"11,157",2021,"10,921",2020
 Mauritania,Africa,"10,091",2022,"8,228",2021,"7,916",2020
 Tajikistan,Asia,"9,983",2022,"8,746",2021,"7,997",2020
 Kyrgyzstan,Asia,"9,750",2022,"8,543",2021,"7,736",2020
 New Caledonia,Oceania,—,,"9,436",2020,"9,709",2020
 Kosovo,Europe,"9,242",2022,"9,007",2021,"7,734",2020
 Somalia,Africa,"8,416",2022,"7,293",2021,"1,873",2020
 Togo,Africa,"8,359",2022,"8,413",2021,"7,146",2020
 Bermuda,Americas,—,,"7,081",2021,"7,719",2020
 Liechtenstein,Europe,—,,"6,427",2019,"6,872",2020
 Monaco,Europe,—,,"6,816",2020,"6,816",2020
 Cayman Islands,Americas,—,,"5,609",2020,"6,256",2020
 Montenegro,Europe,"6,127",2022,"5,809",2021,"4,789",2020
 Maldives,Asia,"5,900",2022,"4,890",2021,"3,743",2020
 Guam,Oceania,—,,"5,844",2020,—,
 Barbados,Americas,"5,788",2022,"4,901",2021,"4,440",2020
 French Polynesia,Oceania,—,,"5,669",2020,"5,817",2020
 Fiji,Oceania,"4,859",2022,"4,592",2021,"4,494",2020
 South Sudan,Africa,"4,784",2022,"11,998",2015,"15,903",2020
 Eswatini,Africa,"4,669",2022,"4,941",2021,"3,835",2020
 Sierra Leone,Africa,"4,101",2022,"4,200",2021,"3,787",2020
 Liberia,Africa,"3,900",2022,"3,487",2021,"2,481",2020
 Djibouti,Africa,"3,725",2022,"3,371",2021,"3,423",2020
 Burundi,Africa,"3,686",2022,"2,902",2021,"3,399",2020
 Aruba,Americas,"3,499",2022,"2,497",2020,"2,497",2020
 Andorra,Europe,"3,302",2022,"3,330",2021,"2,864",2020
 Greenland,Americas,—,,"3,076",2020,"3,130",2020
 Suriname,Americas,"3,011",2022,"2,862",2021,"4,120",2020
 Bhutan,Asia,"2,707",2022,"2,315",2020,"2,483",2020
 Belize,Americas,"2,676",2022,"1,790",2021,"1,586",2020
 Lesotho,Africa,"2,507",2022,"2,519",2021,"2,273",2020
 Curaçao,Americas,—,,"2,496",2020,"2,596",2020
 Central African Republic,Africa,"2,488",2022,"2,517",2021,"2,323",2020
 East Timor,Asia,"2,455",2022,"1,959",2021,"1,902",2020
 Eritrea,Africa,"2,369",2022,"2,065",2011,"2,084",2020
 Gambia,Africa,"2,172",2022,"2,078",2021,"1,830",2020
 Cape Verde,Africa,"2,053",2022,"1,936",2021,"1,704",2020
 Seychelles,Africa,"2,005",2022,"1,320",2021,"1,059",2020
 Saint Lucia,Americas,"1,972",2022,"1,765",2021,"1,617",2020
 Zanzibar,Africa,—,,—,,"1,724",2020
 Antigua and Barbuda,Americas,"1,692",2022,"1,471",2021,"1,370",2020
 Guinea-Bissau,Africa,"1,624",2022,"1,639",2021,"1,315",2020
 San Marino,Europe,"1,623",2022,"1,545",2020,"1,555",2020
 Solomon Islands,Oceania,"1,601",2022,"1,645",2021,"1,546",2020
 British Virgin Islands,Americas,—,,—,,"1,492",2020
 Comoros,Africa,"1,242",2022,"1,328",2021,"1,235",2020
 Grenada,Americas,"1,192",2022,"1,122",2021,"1,043",2020
 Northern Mariana Islands,Oceania,—,,"1,182",2019,—,
 Saint Kitts and Nevis,Americas,"1,115",2022,976,2021,927,2020
 Vanuatu,Oceania,984,2022,984,2021,855,2020
 Saint Vincent and the Grenadines,Americas,948,2022,890,2021,810,2020
 Turks and Caicos Islands,Americas,—,,943,2021,925,2020
 Sint Maarten,Americas,—,,"1,186",2018,857,2020
 Samoa,Oceania,830,2022,788,2021,772,2020
 American Samoa,Oceania,—,,709,2020,—,
 Dominica,Americas,599,2022,546,2021,507,2020
 São Tomé and Príncipe,Africa,506,2022,547,2021,476,2020
 Tonga,Oceania,501,2022,489,2020,491,2020
 Micronesia,Oceania,428,2022,404,2021,403,2020
 Cook Islands,Oceania,—,,—,,283,2020
 Marshall Islands,Oceania,271,2022,249,2021,244,2020
 Anguilla,Americas,—,,—,,258,2020
 Palau,Oceania,226,2022,258,2020,264,2020
 Kiribati,Oceania,207,2022,181,2020,181,2020
 Nauru,Oceania,134,2022,133,2021,135,2020
 Montserrat,Americas,—,,—,,68,2020
 Tuvalu,Oceania,64,2022,63,2021,55,2020
